Refs,Value,Footprint,QTY,MFR,MPN,SPR,SPN
RT1,FUSE 5A SLOW,IPC7351-Most:RESC3216X60,1,Bel Fuse Inc.,C1S 5,Digikey,507-1194-1-ND
RT2,POLYFUSE 1A,IPC7351-Most:RESC3216X60,1,Bel Fuse Inc.,0ZCJ0050AF2E,Digikey,507-1803-1-ND
C401;C1;C35;C18;C21;C20;C19;C74;C73;C77;C82;C81;C85;C75;C87;C86;C51;C13;C13;C32;C30;C34;C10;C11;C12;C3;C9;C36;C3;C9;C36;C3;C9;C36;C72,100nF,IPC7351-Nominal:CAPC1608X55,35,Murata Electronics North America,GRM188R71E104KA01D,Digikey,490-1524-1-ND
C8;C8;C8;C65,100pF,IPC7351-Nominal:CAPC1608X55,4,KEMET,C0603C101J5GACTU,Digikey,399-1061-1-ND
C83;C84,120pF,IPC7351-Nominal:CAPC1608X55,2,KEMET,C0603C121F5GACTU,Digikey,399-7850-1-ND
C79;C80;C17;C33,15pF,IPC7351-Nominal:CAPC1608X55,4,Murata Electronics North America,GCM1885C1H150JA16D,Digikey,490-4957-1-ND
C40;C42,180nF,IPC7351-Nominal:CAPC1608X55,2,Murata Electronics North America,GRM188R71E184KA88D,Digikey,490-6431-1-ND
C14;C14,1nF,IPC7351-Nominal:CAPC1608X55,2,Murata Electronics North America,GRM188R71H102KA01D,Digikey,490-1494-1-ND
C53;C54;C53;C54;C53;C54,2.2nF,IPC7351-Nominal:CAPC1608X55,6,Murata Electronics North America,GRM188R71H222KA01D,Digikey,490-1500-1-ND
C76;C78;C41;C31;C28;C29;C4,2.2uF,IPC7351-Nominal:CAPC1608X55,7,Murata Electronics North America,GRM188R71A225KE15D,Digikey,490-4520-1-ND
C55;C56;C55;C56;C55;C56,220pF,IPC7351-Nominal:CAPC1608X55,6,Murata Electronics North America,GRM1885C1H221JA01D,Digikey,490-1435-1-ND
